ÐòºÅ,X,Y
134,2.85532208,51.62834432
135,2.855564625,51.67841641
136,2.856022766,51.72951258
137,2.858933307,51.60147571
138,2.859831623,51.69225047
139,2.859943911,51.64176515
140,2.861628253,51.59844389
141,2.862571485,51.62478699
142,2.863379968,51.60511389
143,2.863514716,51.61616316
144,2.865940167,51.65491648
145,2.866209662,51.67235278
146,2.867152893,51.63799222
147,2.867422388,51.75279692
148,2.86800629,51.60897664
149,2.868163497,51.59696167
150,2.868288619,51.58232234
151,2.868500365,51.6017452
152,2.870359879,51.703695
153,2.87164447,51.62249628
154,2.871869049,51.60592237
155,2.872071168,51.65146695
156,2.872587699,51.61274956
157,2.874294499,51.63408455
158,2.876270792,51.59765787
159,2.876989443,51.60956055
160,2.877258939,51.60275581
161,2.877438602,51.61634283
162,2.877663181,51.6815156
163,2.879212778,51.64762665
164,2.879145402,51.66467219
165,2.880897117,51.61333347
166,2.88148102,51.60664102
167,2.881772972,51.63071587
168,2.882558999,51.72189487
169,2.883053073,51.60053248
170,2.882918326,51.61966659
171,2.883592063,51.74888925
172,2.885049783,51.54665806
173,2.885209029,51.61077327
174,2.885253945,51.6609891
175,2.885828868,51.64348991
176,2.886062429,51.62334968
177,2.886922246,51.73435579
178,2.887364986,51.61643266
179,2.887903975,51.60403591
180,2.888462216,51.76511667
181,2.889655691,51.60798849
182,2.890733669,51.59110017
183,2.890598921,51.62721244
184,2.891137911,51.62020558
185,2.891272657,51.65685684
186,2.891946395,51.61360296
187,2.891811648,51.65685684
188,2.892215889,51.5424564
189,2.892543133,51.55017549
190,2.893338784,51.71102526
191,2.893313118,51.63953219
192,2.894147266,51.62415817
193,2.89518033,51.63085062
194,2.89558457,51.61764538
195,2.895854066,51.60565287
196,2.896123561,51.61104277
197,2.897363235,51.58630316
198,2.897605781,51.69714629
199,2.898593928,51.65276951
200,2.898728673,51.6276616
201,2.899303596,51.53811753
202,2.899222748,51.62128356
203,2.899788686,51.59519648
204,2.899986317,51.61490552
205,2.899973482,51.68030287
206,2.900589471,51.55383291
207,2.900914576,51.54576519
208,2.901962609,51.63377014
209,2.902187188,51.66682814
210,2.902995673,51.60821307
211,2.903130419,51.62505648
212,2.903399914,51.63758798
213,2.903310084,51.74408326
214,2.903759241,51.61867845
215,2.904388061,51.61230041
216,2.904837218,51.76770895
217,2.904927051,51.58130853
218,2.90517088,51.6489645
219,2.906184691,51.63026671
220,2.906544017,51.53378765
221,2.907442333,51.62263103
222,2.907621996,51.59074084
223,2.908340649,51.5572786
224,2.908116069,51.61616316
225,2.908708957,51.54154011
226,2.909194047,51.64095667
227,2.909328795,51.76020802
228,2.909867783,51.63394981
229,2.910303122,51.54916266
230,2.91054152,51.62761668
231,2.910945763,51.60969529
232,2.911754246,51.62000346
233,2.91202374,51.64486434
234,2.911978826,51.72643136
235,2.913479013,51.59859212
236,2.913505961,51.63785748
237,2.913550877,51.57699662
238,2.913717707,51.5295014
239,2.914179697,51.63138961
240,2.914853433,51.61346822
241,2.914988182,51.62505648
242,2.915560857,51.55404466
243,2.91558107,51.71156425
244,2.916227856,51.58657266
245,2.916200907,51.61724114
246,2.916395542,51.53738091
247,2.917144139,51.64176515
248,2.917278885,51.61980134
249,2.917862789,51.63538711
250,2.918383815,51.54525914
251,2.918437712,51.57557728
252,2.918626358,51.62882941
253,2.919434842,51.62222679
254,2.920243325,51.69714628
255,2.920378072,51.68315952
256,2.920976949,51.52522371
257,2.921119182,51.57223554
258,2.921253932,51.59480572
259,2.921590798,51.63920495
260,2.922264535,51.63260233
261,2.922803524,51.61441145
262,2.92307302,51.62613446
263,2.923477261,51.73999592
264,2.923612008,51.55067598
265,2.923544632,51.58220684
266,2.92350421,51.66822952
267,2.923746756,51.61966659
268,2.924150997,51.5332262
269,2.924420493,51.77212353
270,2.924851682,51.60301183
